Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
IDOL,BTS,2018-08-24,63,"['pop', 'uk dance', 'uk funky']"
bad guy,Billie Eilish,2019-03-29,84,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']"
Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,75,"['reggaeton', 'urbano latino']"
BICHOTA,KAROL G,2020-10-23,74,"['art pop', 'pop']"
Where Are Ü Now (with Justin Bieber),Jack Ü,2015-02-24,76,['cartoon']
Adan y Eva,Paulo Londra,2018-11-05,69,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']"
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
How You Like That,BLACKPINK,2020-10-02,82,"['k-pop', 'k-pop girl group', 'pop']"
FAKE LOVE,BTS,2018-05-18,77,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-27,76,"['k-pop', 'k-pop boy group', 'pop']"
Poker Face,Lady Gaga,2008-01-01,83,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
There's Nothing Holdin' Me Back,Shawn Mendes,2017-04-20,88,['uk contemporary r&b']
La La La,Naughty Boy,2013-01-01,77,"['emo rap', 'miami hip hop', 'rap']"
Simba Ramwari,Zimpraise,2022-04-18,20,"['dance pop', 'pop']"
SAD!,XXXTENTACION,2018-03-16,83,['zim gospel']
Mis Sentimientos - En Vivo Concierto Sinfónico Cumbia Fuzión By Fuze Tea,Los Ángeles Azules,2013,53,"['cantautor', 'latin arena pop', 'latin pop']"
No Lie,Sean Paul,2018-06-29,84,"['canadian pop', 'pop', 'viral pop']"
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014-03-03,82,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Fuiste Tú (feat. Gaby Moreno),Ricardo Arjona,2011,77,"['art pop', 'dance pop', 'pop']"
Olha A Explosão,MC Kevinho,2016-12-15,74,"['funk carioca', 'funk ostentacao', 'funk pop', 'sertanejo universitario']"
Beautiful Girls,Sean Kingston,2008-03-11,66,"['album rock', 'classic rock', 'permanent wave', 'rock']"
6 AM,J Balvin,2013-09-29,72,"['dance pop', 'miami hip hop', 'pop']"
Every Breath You Take,The Police,1983-06-17,89,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Me Voy Enamorando - Remix,Chino & Nacho,2015-05-05,63,"['electro latino', 'latin hip hop', 'latin pop', 'urbano latino']"
