Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
The Cranberries - Zombie (Official Music Video),8972971,2018/01/15,33.0,,54.0,6Ejga4kJUts
Lukas Graham - 7 Years [Official Music Video],2788992,2016/05/14,17.0,,44.0,LHCob76kigA
Pitbull - Timber (Official Video) ft. Ke$ha,2695930,2014/02/01,1.0,3.0,120.0,hHUbLv4ThOo
6ix9ine - BEBE ft. Anuel AA,10634969,2018/08/31,2.0,1.0,88.0,ycV6cnK3SIs
"Anuel AA, KAROL G - Secreto",13606879,2019/01/16,2.0,3.0,61.0,gFZfwWZV074
Sam Smith - Too Good At Goodbyes,5157905,2017/11/10,9.0,,64.0,J_ub7Etch2U
twenty one pilots - Ride (Official Video),1980209,2016/09/10,35.0,,46.0,Pw-0pbY9JeU
Katy Perry - Firework (Official Music Video),2287799,2010/10/30,1.0,2.0,235.0,QGJuMBdaqIw
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],2290181,2017/01/21,24.0,,84.0,CUYrEiymUMY
Taylor Swift - Look What You Made Me Do,49917438,2017/08/28,1.0,1.0,24.0,3tmd-ClpJxA
Don Omar - Danza Kuduro ft. Lucenzo,1451146,2011/03/26,2.0,2.0,237.0,7zp1TbLFPp8
Prince Royce - Darte un Beso,2004726,2013/12/14,6.0,,142.0,bdOXnTbyk0g
El Amante - Nicky Jam (Video Oficial)  (Álbum Fénix),8075899,2017/02/11,5.0,,55.0,YG2p6XBuSKA
"AronChupa, Little Sis Nora - I'm an Albatraoz | OFFICIAL VIDEO",1709680,2015/03/14,19.0,,89.0,Bznxx12Ptl0
"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)",5416031,2019/08/21,6.0,,189.0,CbEst0K063c
Christian Nodal - Adiós Amor (Video Oficial),2454694,2017/12/24,56.0,,64.0,ETLoTxVVvjM
21. El Perdón - Nicky Jam y Enrique Iglesias  [Official Music Video YTMAs],2886100,2016/12/10,42.0,,83.0,hXI8RQYC36Q
The Weeknd - Save Your Tears (Official Music Video),7621154,2021/01/07,4.0,,151.0,XXYlFuWEuKI
Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],4629616,2022/09/29,18.0,,187.0,fPO76Jlnz6c
Ariana Grande - Problem ft. Iggy Azalea,2613641,2014/05/30,5.0,,109.0,iS1g8G_njx8
